droughtDate,droughtLvl,areaPct,fireName,county,acres,fireDate,countyList,countyCount
13/07/2021,D0,100,Airport Fire,Inyo,"4,136",16/02/2022,Alameda,4
13/07/2021,D1,100,Coastal Fire,Orange,200,11/05/2022,Contra Costa,1
13/07/2021,D2,94.75,Lost Lake Fire,Riverside,"5,856",26/05/2022,Del Norte,3
13/07/2021,D3,85.73,Thunder Fire,Kern,"2,500",22/06/2022,Humboldt,12
13/07/2021,D4,33.32,Roblar Fire,Sonoma,63,27/06/2022,Los Angeles,55
06/07/2021,D0,100,Electra Fire,Amador,"4,478",04/07/2022,Marin,1
06/07/2021,D1,100,Washburn Fire,Mariposa,"4,886",07/07/2022,Mendocino,26
06/07/2021,D2,94.73,Oak Fire,Mariposa,"19,244",22/07/2022,Monterey,23
06/07/2021,D3,85.44,McKinney Fire,Siskiyou,"60,138",29/07/2022,Napa,8
06/07/2021,D4,33.32,Yeti Fire,Siskiyou,"7,886",29/07/2022,Orange,6
29/06/2021,D0,100,Summit Fire,Tulare,"1,394",03/08/2022,San Benito,4
29/06/2021,D1,100,Red Fire,Mariposa,"8,364",04/08/2022,San Diego,58
29/06/2021,D2,94.73,Six Rivers Lightning Complex,Humboldt,"41,596",05/08/2022,San Luis Obispo,21
29/06/2021,D3,85.44,Rodgers Fire,Tuolumne,"2,790",08/08/2022,San Mateo,1
29/06/2021,D4,33.32,Route Fire,Los Angeles,"5,208",31/08/2022,Santa Barbara,19
22/06/2021,D0,100,Border 32 Fire,San Diego,"4,456",31/08/2022,Santa Clara,7
22/06/2021,D1,100,Mill Fire,Siskiyou,"3,935",02/09/2022,Santa Cruz,3
22/06/2021,D2,94.73,Mountain Fire,Siskiyou,"13,440",02/09/2022,Solano,4
22/06/2021,D3,85.44,Radford Fire,San Bernardino,"1,079",02/09/2022,Sonoma,7
22/06/2021,D4,33.32,Fairview Fire,Riverside,"28,307",05/09/2022,Ventura,15
15/06/2021,D0,100,Mosquito Fire,Placer,"76,788",06/09/2022,Alpine,4
15/06/2021,D1,100,Barnes Fire,Modoc,"5,843",07/09/2022,Amador,3
15/06/2021,D2,94.75,Fork Fire,Madera,819,07/09/2022,Butte,23
15/06/2021,D3,85.44,Owens,Kern,"1,512",01/05/2021,Calaveras,5
15/06/2021,D4,33.32,Southern,San Diego,"5,366",02/05/2021,Colusa,5
08/06/2021,D0,100,Palisades,Los Angeles,"1,202",14/05/2021,El Dorado,8
08/06/2021,D1,100,Sargents,Monterey,"1,100",30/05/2021,Fresno,20
08/06/2021,D2,94.75,Sierra,San Diego,"1,000",09/06/2021,Glendora,1
08/06/2021,D3,85.2,Willow,Monterey,"2,877",17/06/2021,Glenn,2
08/06/2021,D4,33.32,Mojave,San Bernardino,"2,490",17/06/2021,Imperial,1
01/06/2021,D0,100,Nettle,Tulare,"1,265",18/06/2021,Inyo,14
01/06/2021,D1,100,Henry,Alpine,"1,320",24/06/2021,Kern,44
01/06/2021,D2,94.61,Lava,Siskiyou,"26,409",25/06/2021,Kings,3
01/06/2021,D3,74.46,Shell,Kern,"1,984",27/06/2021,Lake,15
01/06/2021,D4,26.04,Tennant,Siskiyou,"10,580",28/06/2021,Lassen,32
25/05/2021,D0,100,Salt,Shasta,"12,660",30/06/2021,Madera,12
25/05/2021,D1,100,East Fork,Alpine,"1,136",01/07/2021,Mariposa,29
25/05/2021,D2,94.61,Beckwourth Complex,Plumas,"105,670",03/07/2021,Merced,10
25/05/2021,D3,74.46,Tamarack,Alpine,"68,637",04/07/2021,Modoc,21
25/05/2021,D4,26.04,Juniper,Modoc,"1,011",05/07/2021,Mono,12
18/05/2021,D0,100,River,Mariposa,"9,656",11/07/2021,Nevada,4
18/05/2021,D1,100,Dexter,Mono,"2,965",12/07/2021,Placer,9
18/05/2021,D2,94.31,Dixie,Butte,"963,309",13/07/2021,Plumas,12
